"ID","NAME","SCIENTIFIC_NAME","LIGHT","WATER","FERTILIZER","TEMPERATURE","HUMIDITY","FLOWERING","PESTS","DISEASES","SOIL","POT_SIZE","PRUNING","PROPAGATION","POISONOUS_PLANT_INFO"
"149","Hoya Shooting Stars Plant","HOYA MULTIFLORA","Hoya Plants do best and bloom more in very bright light . Hoya Plants are one of the few indoor houseplants that can even thrive in direct sun. Although Hoya Plants can adapt to lower light, they grow slower and do not produce the fragrant porcelain- like flowers that are so beautiful.","Hoya Plants are succulent s and need to completely dry out before being watered. Hoya Plants do thrive on neglect, but need additional water when in bloom.","Feed a Hoya Plant monthly with a balanced houseplant food at 1/2 the recommended strength when it is actively growing.","Hoya Plants can adapt to any temperature but prefer 60-65 degrees at night and 70-80 degrees during the day.","Provide basic household humidity or lower for a Hoya Plant.","A Hoya Shooting Stars Plant produces beautiful clusters of fragrant flowers in white and yellow. Each Hoya flower has five waxy petals. New flowers develop on the old flower stems of a Hoya Plant so never cut off the old stems.","Hoya Plants are prone to plant pests such as Mealy Bugs , spider mites, and Aphids . Spray the entire Hoya plant, reaching every little twisted section if possible, with the green solution to treat plant pests.","The main plant diseases that affect Hoya Plants are botrytis , a fungus that causes grayish areas on the leaves and Stem and Root Rot caused by over-watering.","Use a well-aerated fast-draining potting soil for a Hoya plant. Add a little sand to the soil to loosen it up even more if the soil seems heavy..","Pot size for a Hoya Plant should be no larger that 1""-2"" bigger than the root ball.","Never totally cut off the old stems of a Hoya Shooting Stars Plant since this is where the new flowers develop.","Hoya Plants are easy to propagate using stem clippings from the new vines.","Although not considered poisonous , Hoya Plants can make dogs and cats ill if they eat a large number of leaves.."
"150","Jade Plant","CRASSULA OVATA","Jade plants need very bright light . Some jade plant varieties even develop red edges on their leaves when exposed to bright sunlight.","These are Succulent Plant s that have the ability to store water in their leaves, stems and roots. Water well and then allow the soil to dry out before watering again. Over- watering causes the leaves to fall off and the stems to become soft and mushy.","Feed every 2 weeks from the end of June through August with a liquid fertilizer that has been diluted to 1/2 the recommended strength. Feed monthly in April, May, and June. Do not feed at all  October-March. I like to use a plant food designed for Succulent Plants.","Jade plants prefer temperatures between 75degrees-80degrees Fahrenheit (24degrees-27degrees Celsius) during the day and about 15degrees cooler at night, but can tolerate lower temperatures of about 45degrees to 55degrees F (7.2degrees-12.8degrees Celsius) in the winter. Temperatures below 45degrees Fahrenheit (7degrees C) can damage the leaves.","Low Humidity","Healthy, mature Jade plants usually bloom around Christmas in the northern hemisphere. Blooming is triggered by the natural shortening of the daylight hours. If your jade plant is in a room that gets any light at all at night during late November and December, it will probably not bloom.","Mealy Bugs , Spider Mites, scale - these pests hide under leaves and on hidden stems making them difficult to see. Spray the plant with the green solution (recipe found in the Glossary).","Bacterial soft rot (usually due to over watering), powdery mildew , and black ring disease","Jade plants need a soil that drains quickly to prevent root rot. A cactus mix with some added organic matter works well.","","If leaves fall off and branches are bare (usually due to over -watering), stop watering and cut off the bare stems to help the plant become bushy again.","Propagate using leaf and Stem Cuttings. Allow the stem or leaf to sit out over night and form a callus on the cut area before using it for propagation. Use a small 4"" pot with a loose quick draining soil. Lay the leaf onto the soil or insert the stem into the soil. Water the potting mixture, after that, water sparingly until the leaf or stem puts out roots. Placing the plant in a clear plastic bag increases the humidity and helps the leaves root faster.","Jade plants are slightly poisonous and have a level #1 toxicity for humans. However, a jade plant is more toxic when eaten by animals, especially dogs, and can cause vomiting and heart rate issues."
"161","Jasmine Plant","JASMINUM POLYANTHUM","A jasmine plant likes bright indirect light throughout the year, and in the winter benefits from a few hours of direct sun. However, avoid putting a jasmine plant in the direct sun during the summer, the intensity of the sun will burn the leaves. Try moving your jasmine plant outside for the summer, the plant will love it.","Jasmine plants loses leaves and leaves dry up from both too much and too little water. In the spring and summer, keep the soil moist but never soggy. The top 30% of the soil should dry out before watering. Soil that stays too wet, too long, damages the roots of the plant and eventually prevents the roots from absorbing water at all. When you do water, water well enough so that the water comes out the drip holes in the bottom of the pot. Do not allow the plant to sit in this excess water. During the fall and winter, keep a jasmine plant on the drier side.","Feed a jasmine plant every 2-4 weeks from March-August when the plant is actively growing. Do not feed during the fall and winter when the plant is dormant. Jasmine plants prefer a water soluble plant food high in phosphorous and low in nitrogen. This type of fertilizer helps produce more flowers.","Jasmine plants do well in cool rooms where the temperature is 65degrees-70degrees Fahrenheit (18.3degrees-21.1degrees Celsius) and the light is very bright. If the room is too warm, a jasmine plant grows but doesn't produce any flowers. These plants, like most houseplants, do poorly when placed near heaters, hot air vents, and fireplaces.","These plants thrive in high humidity. You can place a jasmine plant on a wet pebble tray (be sure the plant is sitting on the pebbles and not in the water), put a small humidifier near the plant, or group your plants together to increase the humidity.","Like poinsettias and Christmas cactus, jasmine plants need cool temperatures and short days to set their fragrant flower buds. In the late fall, temperatures at night should be 45degrees-55degrees. During the day, keep the plants in very bright light . At night, try to keep the plant in total darkness. An indoor jasmine plant usually flowers in January and February.","Jasmine plants attract Aphids , Mealy Bugs , scale , and spider mites.","Since these plants like high humidity and moist soil, fungal diseases can be a problem. Keeping a jasmine plant in very bright light helps prevent some of these diseases, as does good air circulation and dry leaves.","Jasmine plants grow well in a basic houseplant soil that drains well but still retains water. Twice a year add some lime, as a supplement, to the soil.","The plant produces more flowers when it is root-bound. If the soil is drying out in just 2-3 days, it may be time to move your plant to the next size pot.","Prune a jasmine plant after it has finished blooming to maintain its size and shape. Never prune after the beginning of August since this is when a jasmine plant starts to set its flower buds.","Propagate a jasmine plant from Stem Cuttings in the spring. Rea more about propagation techniques in the Glossary of the website.","The flowers of a true jasmine plant (Oleaceae) are nontoxic. The flowers of the false jasmine plant (Loganiaceae) such as Yellow Jasmine or Carolina Jasmine are very poisonous . If you are unsure whether you have a true or false jasmine plant always err on the side of caution and keep the plant away from children and animals"
"162","Kalanchoe Plant","KALANCHOE BLOSSFELDIANA","Kalanchoe plants need bright indirect light and can even tolerate direct sun during the fall, winter, and spring. Direct sun in the summer is too intense and burns the leaves. The blooms on kalanchoe plants are photo-periodically induced. As the days get shorter and kalanchoes experience longer periods of darkness, they produce more flowers.","Kalanchoes are Succulent Plant s with plump leaves that store water for long periods of time. These plants are easily over-watered which causes root-rot. Always allow the top 50% of the soil to dry-out before watering. If the soil is exceptionally dry, sit the plant in a deep saucer of water for about ten minutes. This not only prevents over-watering but keeps the leaves dry. Wet leaves encourage plant diseases such as leaf spot or powdery mildew .","Fertilize monthly when kalanchoes are actively growing with a plant food high in nitrogen diluted to 1/2 the recommended strength. If the soil is very dry, moisten the soil with plain water before fertilizing; this prevents the plant food from burning the roots.","Indoor kalanchoe plants like warm temperatures between 60degrees-85degrees Fahrenheit (15.6degrees-18.3degrees Celsius). Low temperatures below 40degrees Fahrenheit (4.4degrees Celsius) can damage or kill a kalanchoe within a few hours. Keep kalanchoes away from cold drafts and open windows during the winter.","Kalanchoes grow well in regular to low household humidity. When the humidity is too high, these plants develop plant diseases such as leaf spot or powdery mildew .","Remove faded blooms as soon as they appear to encourage more flowers. Starting in October, keep a kalanchoe plant in total darkness at night for up to 14 hours and then place it in bright indirect light during the day. This encourages the plant to flower.","Kalanchoe houseplants are fairly pest resistant. When placed outdoors for the summer, they attract mites, scale , and Aphids . Kalanchoes are very sensitive to chemical insecticides. When treating them for a plant pest infestation use the "" green solution "", yellow sticky cards , insecticidal soap , or Neem Oil . You can read about all of these products in the Glossary of the website.","These plants are prone to Leaf Spot Disease and powdery mildew . The best way to prevent these plant diseases is to keep the leaves dry and provide good air circulation.","Use a light soil composed of peat moss, sand, and perlite that drains well. When using a basic store bought potting soil, be sure to add an equal amount of sander good drainage.","Kalanchoes are available in 4"" and 6"" pots. They rarely need to be in a container larger than 8"" wide and 6"" deep. Kalanchoe containers must have drip holes in the bottom so excess water can drain out.","Remove dead or dying flowers as soon as they appear. Cut back bare stems to keep a kalanchoe full and bushy.","Stem Cuttings , plant division , and offsets are the best way to propagate kalanchoe plants. When using Stem Cuttings be sure to allow the cut end of the stems to dry for 24 hours before planting it. This prevents the cuttings from developing root rot.","Kalanches are poisonous plants. They belong to a group of plants that contain naturally-occurring poisons that affect the heart. The toxins in kalanchoe plants are similar to digitalis or digoxin a common heart medication used in both human and veterinary medicine. The severity of the poisoning depends upon the amount of plant eaten. All parts of the plant are considered toxic, even the water in the vase of cut kalanchoe flowers is dangerous."
"163","Kangaroo Paw Fern","MICROSORUM DIVERSIFOLIUM","Medium to bright indirect light . Keep in the shade outside.","Water a kangaroo paw fern when the top 50% of the soil has dried out. When watering, give the plant enough water so that it drains out the bottom drip holes. I don't recommend misting this or any other houseplant because keeping the leaves wet encourages bacterial and fungus infections.","Fertilize once a month in the spring and summer with a balanced plant food diluted to 1/2 the recommended strength. You can also use an organic fish emulsion. Kangaroo paw ferns should never be fertilized in the fall and winter. Ferns do not require much plant food so when in doubt, don't feed.","These ferns like warm temperatures 70degrees-75degrees Fahrenheit (21.1degrees-23.9degrees Celsius) in the spring, summer, and fall, but prefer cooler temperatures 60degrees-65degrees Fahrenheit (15.6degrees-18.3degrees Celsius) and brighter light in the winter.","High humidity is best, but a kangaroo paw fern still does well in lower household humidity.","","scale , Aphids , Mealy Bugs . Ferns are very sensitive to insecticides, so try to use warm, soapy water or the green solution (recipe in Glossary).","Not many diseases affect kangaroo paw ferns. In very humid conditions, bacterial or fungal infections may occur.","Use a porous coarse soil that drains well.","Repot in the spring if the roots have filled the existing pot.","Remove dead fronds as soon as they appear; cut the dead fronds off at the soil line. Clean the leaves with a damp cloth.","Kangaroo paw ferns can be propagated using many techniques: spores, rhizome division, layering, and plantlets. Fern propagation should be done in the spring before the plant starts to actively produce new growth.","These are non- Poisonous Houseplants ."
"164","Kentia Palm","HOWEA FORSTERIANA","A Kentia palm can survive in low light conditions, but grows better and develops more fronds in medium indirect light.","Water a Kentia palm well and then allow the top 25% of soil to dry out before watering again. Over-watering, resulting in root-rot, is the major reason Kentia palms die. Kentias, like most indoor palms, are sensitive to salt, fluoride, and chlorine in the water. Allow your water to sit out over night before using it or use distilled water if your household water has a high chemical concentration. Never use water that has passed through a softener, it is too salty.","A Kentia Palm is a slow growing plant and only needs to fertilized monthly in the spring and summer when it is actively growing. Use a balanced houseplant food diluted to 1/2 the recommended strength.","Keep the room temperature between 65 and 85 degrees for a Kentia Palm.","A Kentia Palm does well in basic household humidity.","","Kentia palms can get spider mites and Mealy Bugs. Since Palm fronds are easily damaged, never use any product containing alcohol. Use a biodegradable soap solution to treat houseplant pests. If this doesn't eliminate the plant pests on a Kentia Palm, try an insecticidal soap or Neem Oil.","","Use a well-aerated potting soil that drains quickly but still retains water; add sand if the soil appears heavy and claylike.","","","Kentia Palms are propagated by seeds. This is a difficult process best left to the experts.","A Kentia Palm is a non- poisonous plant."
"165","Kimberly Queen Fern","NEPHROLEPSIS OBLITERATA","A Kimberly queen fern does well in medium light. Like a Boston fern, hanging one in front of a window with a northern exposure provides it with enough light to grow well, but not so much that the leaves lose their vibrant green color.","Allow the top 25%-35% of the soil to dry-out before watering. The long fronds (leaves) may even turn a pale green when the fern needs water. Crispy brown fronds, especially in the center of the fern, mean the plant is over-watered. Avoid watering with ""hard water,"" or water that has a lot of salt, fluorine, or chlorine in it.","Feed monthly with a balanced liquid plant food when a Kimberly Queen fern is actively growing. Dilute the plant food 1/4 to 1/2 the recommended strength to prevent the ends of the fronds from burning and turning brown.","60degrees-70degrees Fahrenheit (15.5degrees-21.1degrees Celsius) Keep away from fireplaces, heaters, and air conditioners.","Ferns prefer high humidity which is rarely available in our homes or offices. If your fern leaf tips turn brown because of low humidity, try setting the plant on a wet pebble tray. Be sure the fern is sitting on the pebbles and not in the water. You can also place a small humidifier in the room.","","Aphids, Mealy Bugs, and spider mites. Pesticides damage fern ferns, use a mild solution of soapy water to prevent and treat pest infestations.","These ferns are fairly disease resistant.","Use is a good, indoor potting soil with a little extra peat moss added to help it drain quickly.","Repot to the next size pot when the roots have filled the existing pot. Ferns do well when root-bound so do not rush to repot. Do not fertilize a fern for several weeks after re-potting.","Cut dead Leaves (fronds) off as soon as they appear. Dead leaves on any houseplant should immediately be removed since they drain energy from the plant.","plant division: Carefully pull the root ball in half or in quarters. Plant the sections in small pots to prevent over-watering.","Non- poisonous plant"
"166","Lipstick Plant","AESCHYNANTH","Lipstick plants require very bright indirect light . Direct sun burns the leaves.","These plants flower more frequently and more abundantly if you allow the top 25% of the soil dry out before watering. If the leaves of a lipstick plant appear soft and shriveled, give the plant more water. These plants lose green leaves when they are over-watered.","Feed every other week in the spring and summer, and monthly in the fall and winter with a houseplant food high in phosphorous. Always dilute the fertilizer to 1/2 the recommended strength.","Lipstick plants like warm temperatures between 75degrees-85degrees Fahrenheit (23.9degrees- 29.4degrees Celsius)","Although a lipstick plant prefers high humidity, it does well in basic household humidity.","Lipstick plants placed in a bright location produce beautiful, small, reddish orange flowers throughout the year. Stressing a lipstick plant by allowing the soil to dry out encourages it to bloom.","Mealy Bugs , spider mites, Aphids , and thrip s are houseplant pests that attack lipstick plants. Examine your plant every time you water to catch insect problems early.","Lipstick plants can develop fungal diseases when in an area of high humidity.","Use a balanced well-aerated houseplant mix that drains quickly.","Keeping lipstick plants in small pots helps them produce more flowers. When you put this plant in a large container, instead of producing flowers it grows more leaves.","Trim the long vines to prevent the plant from becoming thin and straggly.","Lipstick plants are easily propagated using 4"" stem tip cuttings from the newest vines.","Lipstick plants are non- Poisonous Houseplants ."
"167","Lucky Bamboo Plant","DRACAENA SANDERIANA","A Lucky Bamboo plant can survive in medium and even lower light, but does much better in bright indirect light . Pale leaves indicate the plant is not getting enough light. Avoid placing a Lucky Bamboo plant in the direct sun.","Watering a Lucky Bamboo plant takes a little time and care. Keep the marbles and pebbles in your vase covered with water at all times. Add water to the container weekly to keep the proper level . Once a month remove the Lucky Bamboo plant from the water, rinse the roots, pebbles, and marbles with fresh water, and then put the arrangement back together. Avoid using water high in fluoride or chlorine.","Fertilize monthly in the spring and summer with an African Violet plant food diluted to 1/2 the recommended strength. Excessive fertilizer causes the leaves to turn yellow.","Lucky Bamboo Plants do best in warm temperatures between 70degrees-85degrees( 21degrees-29degrees Celsius)","Basic household humidity","A Lucky Bamboo plant produces flowers that only appear at night. The blooms are made up of many small flowers and have a slight scent.","A Lucky Bamboo plant attracts unwanted insects if placed outdoors but is pest resistant indoors.","Lucky Bamboo plants are prone to fungal infections that turn the stalks yellow and cause them to die.","Lucky Bamboo plants can also be planted in a loose quick-draining soil as well as kept in a vase of water. If using soil always allow the top few inches to dry out before watering.","","Remove off-shoots to preserve the intricate shape of the plant; new growth develops from these cut areas. You can limit new growth by covering the cut areas with paraffin.","Propagate Lucky Bamboo using cane cuttings .","A Lucky Bamboo plant has a #1 toxicity level and is considered to be a mildly to moderately poisonous plant, especially to dogs and cats."
"168","Maidenhair Fern","ADIANTUM RADDIANUM","A maidenhair fern prefers bright indirect light but still grows slowly in medium light. It can handle early morning sun, but afternoon sun burns the fronds.","Keep the soil moist but not soggy and never allow it to totally dry out. If the soil is too wet, a maidenhair fern develops root rot and fungal diseases.","Feed every 2 weeks during the late fall and early spring (Sept-March) with a liquid fertilizer diluted to 1/2 the recommended strength. These plants love fish emulsions a plant food.","Maidenhair ferns need consistent temperatures. They can handle warmth or cold, but prefer warm areas. Never place a maidenhair fern where the temperature fluctuates constantly.","As with temperature, consistent humidity is very important. Maidenhair ferns prefer high humidity but do not like to be misted. Placing them on a pebble tray filled with water is the best solution. Be sure the plant is sitting on the pebbles and not in the water. Dry air causes the leaflets on the fronds to shrivel.","","Aphids , Mealy Bugs , and scale are attracted to these ferns. Rinse the entire plant in soapy water to treat a pest infestation.","Because maidenhair ferns like high humidity, gray mold can be a problem.","Use a very rich, quick-draining soil.","These plants like to be in a small pot. Don't move a maidenhair fern to a larger pot until its roots have filled the existing pot.","Quickly remove any dead or dying fronds; they drain the plant's energy and slow down growth.","In nature, maidenhair ferns are propagated by the tiny spores released from the underside of their leaves. Indoors, try plant division in the spring to start new ferns.","A maidenhair fern is a non- poisonous plant."
"169","Majesty Palm","RAVENEA RIVULARIS","A Majesty palm needs very bright indirect light at all times. Inadequate light causes yellow frond (leaves).","The soil of a majesty palm should be consistently moist but not soggy. Never let the soil totally dry out. Never allow the plant to sit in the excess water that drains out the drip holes in the bottom of the pot. Brown tips and fronds are telling you that the plant needs more water. Yellow leaf tips is an indication that the plant has been over-watered.","A majesty palm requires a great deal of fertilizer . Not enough plant food is another reason the plant gets yellow leaves. Feed every two weeks when the plant is actively growing with a balanced plant food diluted to 1/2 the recommended strength.","Majesty palms do well in temperatures between 45degrees Fahrenheit-85degrees Fahrenheit ( 7.2degrees Celsius-29.4degrees Celsius). Try to keep this palm away from cold drafts or heating vents.","Majesty palms like high humidity, but still grow fairly well in basic household humidity.","","Spider mites are the main pest problem. Spray the fronds of a majesty palm with warm soapy water every few weeks to prevent them. If spider mites do appear, treat the plant with Neem Oil or an insecticidal soap .","The high humidity that these plant like encourages bacterial and fungal infections. Keep the leaves dry, do not mist the plant, and provide good air circulation around the plant.","Use a rich soil that drains quickly. If using a basic houseplant soil mix try adding some sand.","Majesty palms are usually found in 10"" pots or larger.","Fertilize about 7-10 days before you plan to prune the plant. This encourages new growth at the pruning site. Always use very sharp scissors or cutting shears when pruning any houseplant. Quickly prune any yellow fronds as well as any leaves that show signs of fungal or bacterial infection at the base of the frond stem. Prune fronds at the bottom of a palm plant to encourage growth at the top of the plant.","Majesty palms are propagated from seeds. Since they are inexpensive to purchase, it's easier to let the experts handle propagation.","A majesty palm is a non- poisonous plant."
"170","Marble Queen Pothos","EPIPREMNUM AUREUM","A marble queen pothos survives in low light but looks better and grows faster in medium to bright indirect light . When the light is too low, the white swirls on the leaves revert to green on the new growth.","Marble queen pothos like their soil to be kept on the dry side. During the spring and summer, water well and then allow the top 50% of the soil to dry out before watering again. During the fall and winter, let the soil get almost totally dry before watering. If in doubt, wait for the leaves to become soft and droop a little before you water. Black leaves indicate over watering while bright yellow leaves mean the plant has gotten a bit too dry before you watered.","Feed every other month with a plant food high in nitrogen diluted to 1/2 the recommended strength.","The best temperature is between 65degrees Fahrenheit-85degrees Fahrenheit (18.3degrees Celsius-29.4degrees Celsius) The leaves may be damaged if the temperature drops below 55degrees Fahrenheit ( 12.8degrees Celsius).","Marble Queen pothos grow well in basic household humidity.","","All pothos plants are relatively pest free. thrip s and Mealy Bugs may be a problem and can be treated with the "" green solution "" (recipe in the Glossary the website).","Bacterial Leaf Spot Disease causes dark spots with yellow halos. Keeping the leaves dry helps prevent bacterial diseases. Root rot and stem rot fungal diseases cause stems and roots to become mushy and die. These problems need to be treated with a commercial Fungicide and correcting how you are watering the plant.","Use a well-aerated, quick-draining potting soil; if the soil is heavy and doesn't drain well, add a little sand to the mix.","A marble queen pothos likes to be root-bound in a small pot. When the roots have filled the existing pot, move to the NEXT size pot and nothing larger.","Aggressively trim the long vines every few months to keep your plant full and bushy. You can use the stem tip clippings to easily start new plants.","Stem tip cuttings are a very simple way to propagate a marble queen pothos and all other pothos varieties.","A marble queen pothos is very poisonous with a #2 toxicity level . Pets that eat stems or leaves of the plant may exhibit vomiting, pawing at the mouth, lack of appetite, and drooling."
"181","Mimosa Pudica Plant","MIMOSA PUDICA","Sensitive Plants, Mimosa pudica, require bright light and even direct sun in the early morning.","Keep the soil of a Sensitive Plant moist but never soggy. A Mimosa Pudica requires less water during the winter. Sensitive Plants thrive on rain water if it is not acidic. A Sensitive Plant needs less water in the winter months.","Feed a Sensitive Plant every two weeks in the spring and summer with a plant food high in potassium. Diilute the plant food for a sensitive Plant to 1/2 the recommended strength. A tomato plant food works well on Sensitive Plants.","Sensitive Plants like temperatures between 60degrees-85degrees Fahrenheit (16degrees-29degrees Celsius).","Sensitive Plants require high humidity to look their best. Place Sensitive Plants on a wet pebble tray to increase the humidity but be sure the plant is sitting on the pebbles and not in the water.","A Mimosa Pudica, Sensitive Plant, produces small, pink, powder-puff like flowers in the summer. When kept indoors as a houseplant, a Sensitive Plant may never bloom but its leaves will still open and close.","When used as a houseplant, a Sensitive Plant is not usually bothered by plant pests. Spider Mites are the only insects to watch for.","Because a Sensitive Plant thrives in high humidity, it is prone to fungal houseplant diseases such as Pyrethrum Blight and Fusarium.","Use any good potting soil that drains well for a Sensitive Plant. If the potting soil appears heavy or clay like, add some Builders Sand to it.","Sensitive Plants rarely need to be re-potted.","A Sensitive Plant should be pruned regularly to keep it full and prevent it from becoming leggy looking. You can prune a Sensitive Plant any time of the year.","Sensitive Plants are propagated by Stem Cuttings in the spring and summer.","Mimosa Pudica or Sensitive Plant has a level #4 toxicity and is a very poisonous houseplant. Always wash your hands with soapy water after touching the leaves of a Mimosa pudica."
"182","Miniature Rose Bush Plant","R. CHINENSIS MINIMA","A miniature rose bush plant needs very bright light. If you don't have a place in your home where the plant can get several hours of direct sun, move the rose bush outdoors into the sun for a few hours each day once the danger of a frost is over. When there is not enough light, rose bushes don't bloom, the stems start to stretch to the light, and leaves are far apart.","A miniature rose bush requires a great deal of water, especially when it is flowering. Since these plants are usually purchased in small pots, be sure to check the soil every few days. Allow the top 1"" (2.5cm) of soil to dry out before watering. During the winter, when a miniature rose bush plant is resting, keep the soil barely moist. Be careful not to get water on the leaves; wet leaves often cause a fungus called Black Spot to develop.","Feed every two weeks in the spring and summer when the plant is actively growing. Use a fertilizer that is high in phosphorous (5-10-5) at 1/2 the recommended strength.","Miniature rose bush plants do well in temperatures between 60degrees-75degrees Fahrenheit (16degrees-24degrees Celsius). These plants are very susceptible to frost damage.","Moderate to high humidity helps the plant to grow well. If your home is dry, especially in the winter, place a miniature r bush plant on a tray of wet pebbles. Be sure the plant is sitting on the pebbles and not in the water.","Remove dead blooms as soon as they appear; this helps the plant bloom for a longer period of time. Always use a sharp pruner or scissors to cut off the flowers, never just pull them off with your fingers. Tearing the stems of a miniature rose bush, rather than cutting them at a 45degrees angle, damages the stem and encourages diseases. Once the plant finishes blooming and the weather warms up, move it outdoors, but be sure to bring it back inside once the temperature goes below freezing.","Spider mites and Mealy Bugs are two houseplant pests that can infest an indoor rose bush. Rinse the leaves once a week with a mild, soapy, water solution to help prevent infestations and keep the plant dust-free.","If the soil is kept too damp, miniature rose bush plants, like their bigger outdoor cousins, develop a fungal plant disease called black spot. Immediately remove the infected leaves and treat the plant with a Fungicide recommended for black spot disease .","","If there is more than one plant in your pot, remove the plants from the container, gently separate the roots of the two plants, and replant them into their own pots. Use as much of the original soil as possible and be sure all pots have proper drainage holes. When the pot of a miniature rose bush plant is too large, the plant doesn't grow and root rot develops.","Remove dead branches and any other branches that may be rubbing against each other. Once the plant has finished blooming in the fall, prune the rose bush to encourage new growth during the next season.","You can propagate using stem tip cuttings in the early summer. Use a 4"" (10cm) piece of a healthy stem, dip the cut end in Rooting Hormone, and plant it in a small pot of moist potting soil. Set the plant in a clear plastic bag to increase the humidity while it is rooting.","Miniature rose bush plants are non- poisonous plants."
"183","Moses in the Cradle Plant","TRADESCANTIA SPATHACEA","Moses in the Cradle plants need very bright light for at least 6-8 hours a day.","Allow the top inch or two of soil to dry out before watering. Keep the soil drier during the winter when all houseplants, not just a Moses in the Cradle, are not actively growing.","Feed monthly in the spring and summer with a well balanced plant food diluted to 1/2 the recommended strength.","60degrees-85degrees F (16degrees-19degrees Celsius) during the day and a little cooler at night.","Moses in the cradle prefer high humidity. Place a small humidifier nearby or place your Moses in the Cradle plant on a tray of wet pebbles. Be sure the plant is sitting on the pebbles and not in the water. I'm not a fan of misting plants since this often encourages pests and diseases.","These plants produce small flowers tucked inside the leaves.","Spider mites and Mealy Bugs : You can see a picture of these insects and learn how to treat them in the Glossary of the website","Because Moses in Cradle plants like high humidity, root rot and Leaf Spot Disease are a problem. Read about Leaf Spot Disease and see what it looks like in the Glossary of the website.","Use a potting soil that retains moisture yet drains quickly so that the roots are not always wet.","Spring is a good time to re-pot your plant if the roots have filled the existing pot. When re-potting any houseplant, always use the next size pot and nothing larger. You don't want the soil to stay wet too long and cause root rot.","I recommend vigoroulsy pruning in the spring to keep the plant full and bushy. Always wear gloves since the sap in the plant is toxic and very irritating.","Propagate by plant division or Stem Cuttings . Rea more about these and other propagation techniques in the Glossary.","Moses in the Cradle plants are poisonous plants with a #3 toxicity level . The sap causes severe pain in the mouth and minor skin irritations that last a few minutes."
"184","Natal Mahogany Plant","TRICHILIA EMETICA","Natal Mahogany houseplants like medium light but will even grow in lower light. These plants become leggy and thin in very low light .","Natal Mahogany plants thrive on water and are very forgiving when you over-water. These plants prefer their soil to be consistently moist, but not soggy, at all times. Place a saucer under a Natal Mahogany plant to hold extra water.","A Natal Mahogany HousePlant is a fast grower and should be fed monthly in the Fall and Winter and every other week in the Spring and Summer.","A Natal Mahogany can survive temperatures as low as 45degrees Fahrenheit (7.2degrees Celsius). In temperatures above 80degrees Fahrenheit (26.7degrees Celsius) check the soil frequently so the plant does not dry out.","These plants do well in basic household humidity.","","Mealy Bugs and scale are houseplant pests that attack Mahogany Plants.","","","A Natal Mahogany is usually sold in pot a 10"" or larger. It may need to moved to a larger pot about every 18-24 months; this is best done during the spring or summer. The new pot should be only 2""-4"" larger than the roots ball.","Prune a Natal Mahogany aggressively to keep in full and bushy.","","The outer coating of the seeds of a Natal Mahogany plant are poisonous"
"185","Norfolk Island Pine","ARAUCARIA HETEROPHYLLA","Norfolk Island Pines require very bright light , even some direct sun. Bottom branches fall off when it doesn't get enough light. You'll need to turn the plant weekly so all parts of the plant get good light.","Keep the soil of a Norfolk Island Pine moist at all times. Yellow needles can indicate that the soil is too wet or too dry. If the soil completely dries out, entire fronds turn gray, brittle, and fall off.","Feed a Norfolk Pine every other week in the spring, summer, and fall. Use a well- balanced liquid plant fertilizer diluted to 1/2 the recommended strength. Do not feed during the winter.","Norfolk Island Pines prefer temperatures between 60-75degrees Fahrenheit (16-24degrees Celsius) but will survive temperatures as low as 40degrees Fahrenheit (4.4degrees Celsius).","High humidity is important. Dry air causes the needles on a Norfolk Pine to fall off. Keep the plant away from cold drafts, air conditioning vents, and heating vents.","","The main houseplant insect to look out for is Mealy Bug. You can recognize the problem by the white, sticky, cottony, residue these pests leave on the plant.","","Use a good potting soil that retains moisture.","Don't be in a rush to re-pot a Norfolk Island Pine. These plants are slow growers and only need larger containers every 2-3 years.","Norfolk Island Pines do not need to be pruned or shaped. Remove any dead branches from the bottom of the tree.","Norfolk Island Pines can be propagated by seeds. If the existing plant is thin and straggly and you want to start a new plant, cut 4"" off the top of the stem. This will include the star shaped foliage that gives the tree its nickname, Star Pine. Plant the cutting in a small container of rich potting soil and keep moist.","If the needles of a Norfolk Pine are ingested by pets or children, they cause severe stomach irritation. I'd recommend keeping this plant far away from children and pets especially around Christmas when things are hectic and accidents happen."
